Категория,Тип,Подтип,Наименование,Примечание,Атрибут,#REF!,Кол-во,Цена аренды $,Мощность,,,,
Звук,Оборудование,Прочее,Роутер Mikrotik,,Mikrotik,SND_EQP_OTH_Mikrotik,1,,,,,,
Звук,Оборудование,Сабвуфер,Сабвуфер FBT Muse 218SA,,218SA,SND_EQP_SUB_218SA,4,70,,,,,
Звук,Оборудование,Сабвуфер,Сабвуфер JBL EON618S,,EON618S,SND_EQP_SUB_EON618S,1,,,,,,
Звук,Оборудование,Сабвуфер,Сабвуфер JBL PRX715XLF,,PRX715XLF,SND_EQP_SUB_PRX715XLF,2,15,,,,,
Звук,Оборудование,Сабвуфер,Сабвуфер JBL PRX718XLF,,PRX718XLF,SND_EQP_SUB_PRX718XLF,4,20,,,,,
Звук,Оборудование,Сабвуфер,Сабвуфер RCF SUB8003,,SUB8003,SND_EQP_SUB_SUB8003,6,40,,,,,
Звук,Крепление,Массив,Система установки линейного массива RCF FL-B HDL 6 (2шт),,RCF FL-B HDL 6,SND_FIX_MAS_RCF FL-B HDL 6,2,20,,,,,
Звук,Оборудование,Мониторинг,Система ушного мониторинга LD System MEI1000G2,,MEI1000G2,SND_EQP_MON_MEI1000G2,1,10,,,,,
Звук,Оборудование,Мониторинг,Система ушного мониторинга T.Bone IEM100,,,SND_EQP_MON,1,,,,,,
Звук,Оборудование,Стейдж-бокс,Стейдж-бокс Behringer S16,,S16,SND_EQP_STB_S16,2,20,,,,,
Звук,Оборудование,Стейдж-бокс,Стейдж-бокс Midas DL16,,DL16,SND_EQP_STB_DL16,2,35,,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""саб-топ"" с подъёмником K&M 21339",,K&M 21339,SND_STAND_ACU_K&M 21339,1,5,,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""саб-топ"" Gravity GP2342B",,GP2342B,SND_STAND_ACU_GP2342B,2,"1,5",,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""саб-топ"" K&M 21334 (0,5м)",,K&M 21334,SND_STAND_ACU_K&M 21334,1,"1,5",,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""саб-топ"" K&M 21367",,K&M 21367,SND_STAND_ACU_K&M 21367,1,"2,5",,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""саб-топ"" Milleniym B-2001",,Milleniym B-2001,SND_STAND_ACU_Milleniym B-2001,1,,,,,,
Звук,Стойка,Акустическая,"Стойка акустическая ""cтандарт"" K&M 21435",,K&M 21435,SND_STAND_ACU_K&M 21435,9,"2,5",,,,,
Звук,Стойка,Микрофонная,Стойка для микрофона бас бочки,,,SND_STAND_MCR,1,,,,,,
Звук,Стойка,Гитарная,Стойка для Гитары Акмуз,,Akmuz,SND_STAND_GTR_Akmuz,1,,,,,,
Звук,Стойка,Гитарная,Стойка для Гитары Геркулес,,Gerkules,SND_STAND_GTR_Gerkules,1,,,,,,
Звук,Стойка,Гитарная,Стойка для Гитары Милениум,,Millennium,SND_STAND_GTR_Millennium,2,,,,,,
Звук,Стойка,Микрофонная,Стойка для микрофона комбоусилителя,,СOMBO,SND_STAND_MCR_СOMBO,2,,,,,,
Звук,Стойка,Микрофонная,"Стойка микрофонная тип ""Журавль"" K&M 27105 (2 Штук)",,K&M 27105(2),SND_STAND_MCR_K&M 27105(2),2,,,,,,
Звук,Стойка,Микрофонная,"Стойка микрофонная тип ""Журавль"" K&M 27105 (6 Штук)",,K&M 27105(6),SND_STAND_MCR_K&M 27105(6),2,,,,,,
Звук,Стойка,Микрофонная,"Стойка микрофонная тип ""Прямая"" на круглом основании  K&M 26050",,K&M 26050,SND_STAND_MCR_K&M 26050,1,2,,,,,
Звук,Стойка,Микрофонная,"Стойка микрофонная тип ""Прямая"" на круглом основании  K&M 26085 ""Soft Touch""",,K&M 26085,SND_STAND_MCR_K&M 26085,2,2,,,,,
Звук,Стойка,Прочее,Стойка под комбоусилитесь,,Kombousilitel',SND_STAND_OTH_Kombousilitel',2,,,,,,
Звук,Стойка,Прочее,Стойка под сольный барабан,,Sol'nyy baraban,SND_STAND_OTH_Sol'nyy baraban,1,,,,,,
Звук,Оборудование,Стулья,Стул для клавишника,,Klavishnik,SND_EQP_CHA_Klavishnik,1,,,,,,
Звук,Оборудование,Колонка,Сценический монитор FBT VENTIS 115MA,,VENTIS 115MA,SND_EQP_SPK_VENTIS 115MA,6,25,,,,,
Звук,Оборудование,Колонка,Сценический монитор JBL EON 612,,EON 612,SND_EQP_SPK_EON 612,2,10,,,,,
Звук,Оборудование,Пульт,Цифровой микшерный пульт Behringer Flow 8,,Flow 8,SND_EQP_MXR_Flow 8,1,10,,,,,
Звук,Оборудование,Пульт,Цифровой микшерный пульт Behringer X32 Compact,,X32 Compact,SND_EQP_MXR_X32 Compact,1,65,,,,,
Звук,Оборудование,Пульт,Цифровой микшерный пульт Behringer X32R,,X32R,SND_EQP_MXR_X32R,2,30,,,,,
Звук,Оборудование,Пульт,Цифровой микшерный пульт Midas M32 Live,,M32 Live,SND_EQP_MXR_M32 Live,1,150,,,,,
Звук,Оборудование,Прочее,Широкополосная антена УВЧ,,ANTENNA,SND_EQP_OTH_ANTENNA,2,,,,,,
Звук,Оборудование,Массив,Элемент линейного массива RCF HDL6-A,,RCF HDL6-A,SND_EQP_MAS_RCF HDL6-A,20,30,,,,,
